date,title,text,preprocessed_text,manual_label,result
1/1/1985,和衷共济搞四化——一九八五年元旦献词,"    和衷共济搞四化
    ——一九八五年元旦献词
    岁月之树又增添了一周新的年轮。迈着坚实步伐前进的中国人民，在社会大变革中送走1984年，迎来1985年。
    过去的一年，是党的十一届三中全会以后的第六个年头。这六年来，我们国家的政治形势和经济形势一年比一年好。这是因为我们对情况一年比一年更清楚，政策一年比一年更完备，计划一年比一年更周密，措施一年比一年更得力，信心一年比一年更增强。现在人们可以看到，中国出现了同心同德搞四化、和衷共济搞四化的新局面，中国人民满怀信心朝着社会主义现代化建设的宏伟目标前进。
    两个多月前举行的党的十二届三中全会通过了关于经济体制改革的决定，开始了以城市改革为重点的经济体制改革。这个改革要在三、五年内大见成效，今年是关键的一年。推进以城市为重点的经济体制改革，是今年的第一件大事。第二件大事是制定“七五”计划纲要，三是继续搞好整党，四是进一步调整各级领导班子。这四件大事，围绕着一个中心：进一步解放生产力，实现党的十二大提出的本世纪末工农业年总产值翻两番的战略目标。
    搞好改革，加速经济发展，使国家更快地强盛起来，使人民更快地富裕起来，是我们国家的大局。任何一个局部，任何一个部门，任何一个人，想问题、办事情都必须从这个大局出发。凡属为人民、为国家着想的事情就要支持、鼓励，即使由于缺乏经验或方法不当而发生缺点错误，也只能教育帮助，绝不许打棍子。凡属为个人、为小团体着想，损害人民和国家利益的，就叫歪风，就要坚决反对。统一思想，同中央保持一致，首先是解决这个为什么人的问题。十一届三中全会以来，我们各方面工作发展比较顺利，关键就在于紧紧抓住经济建设这个中心，牢牢记住国家强盛、人民富裕这个根本出发点，不允许干扰这个中心，偏离这个根本出发点。“问渠那得清如许，为有源头活水来。”搞四化、为人民才是振兴中华永不枯竭的源头。干扰经济建设这个中心，偏离国家强盛、人民富裕这个出发点，只能走歪政治方向。
    建设“四化”的事业，和扫荡旧社会的壮举一样伟大。伟大的事业呼唤我们积极投身于改革的实践。处在这样一个社会大变革的时期，要站在改革的前列，我们的思想就不能停顿。停顿就意味着落后。人们的思想必须随着情况的发展而发展，敢于在实践中创新，敢于吸收国内外一切先进经验，敢于丢掉陈腐的东西，改变那些观念上、体制上、政策上、作风上不适应新形势的东西。要按照客观规律办事，在掌握新情况、总结新经验、解决新问题中开拓前进。
    调整好领导班子，是做好各项工作的关键。不论是改革、整党、搞四化，蓝图再好，没有好的领导班子去落实，也不能变成灿烂的现实。1985年一项紧迫的任务就是要坚持干部“四化”的原则，把思想好、作风正、有能力、有知识的年轻干部提上来。新班子要“议大事，懂全局，管本行”，善于工作，善于带出好风气，善于把群众的积极性组织起来，开创新局面，谱写新篇章。
    把我们国家建设成具有高度物质文明和精神文明的社会主义现代化国家，是一个艰苦创业的过程，全党同志、全国各族人民要和衷共济。凡是不和谐、不协调的地方，都要进一步团结起来，把心贴在一个共同的目标上，把力量凝聚起来，这样，我们的步子就会迈得更快，我们的事业就会兴旺发达。","        和衷共济 搞 四化 
         一九八五年 元旦 献词 
         岁月 之树 增添 一周 新 年轮 迈着 坚实 步伐 前进 中国 人民 社会 变革 中 送走 1984 年 迎来 1985 年 
         过去 一年 党 十一届三中全会 以后 第六个 年头 六年 国家 政治形势 经济 形势 一年 一年 是因为 情况 一年 一年 更 清楚 政策 一年 一年 更 完备 计划 一年 一年 更 周密 措施 一年 一年 更 得力 信心 一年 一年 更 增强 现在 看到 中国 出现 同心同德 搞 四化 和衷共济 搞 四化 新 局面 中国 人民 满怀信心 社会主义 现代化 建设 宏伟目标 前进 
         两个 多月 前 举行 党 十二届 三中全会 经济体制 改革 决定 城市 改革 重点 经济体制 改革 改革 三 五年 内大 见成效 今年 关键 一年 推进 城市 重点 经济体制 改革 今年 第一件 大事 第二件 大事 制定 七五 计划 纲要 三是 继续 搞好 整党 四是 进一步 调整 各级 领导班子 四件 大事 围绕 中心 进一步 解放 生产力 实现 党 十二大 提出 本世纪末 工农业 年 总产值 翻两番 战略目标 
         搞好 改革 加速 经济 发展 国家 更快 强盛起来 人民 更快 富裕 国家 大局 局部 部门 想 问题 办 事情 大局 出发 凡属 人民 国家 着想 事情 支持 鼓励 缺乏经验 方法 不当 发生 缺点错误 只能 教育 帮助 绝 不许 打棍子 凡属 小团体 着想 损害 人民 国家 利益 歪风 坚决 反对 统一 思想 中央 保持一致 解决 问题 十一届三中全会 方面 工作 发展 比较顺利 关键 紧紧抓住 经济 建设 中心 记住 国家 强盛 人民 富裕 根本 出发点 允许 干扰 中心 偏离 根本 出发点 问渠 清 如许 源头活水 搞 四化 人民 振兴中华 永不 枯竭 源头 干扰 经济 建设 中心 偏离 国家 强盛 人民 富裕 出发点 只能 走 歪 政治 方向 
         建设 四化 事业 扫荡 旧社会 壮举 伟大 伟大 事业 呼唤 积极 投身于 改革 实践 社会 变革 时期 站 改革 前列 思想 停顿 停顿 意味着 落后 思想 情况 发展 发展 在实践中 创新 吸收 国内外 先进经验 丢掉 陈腐 东西 改变 观念 体制 政策 作风 适应 新 形势 东西 客观规律 办事 掌握 新 情况 总结 新 经验 解决 新 问题 中 开拓前进 
         调整 领导班子 做好 各项 工作 关键 不论是 改革 整党 搞 四化 蓝图 领导班子 落实 变成 灿烂 现实 1985 年 一项 紧迫 任务 坚持 干部 四化 原则 思想 作风 正 能力 知识 年轻干部 提上来 新 班子 议 大事 懂 全局 本行 善于 工作 善于 带出 风气 善于 群众 积极性 组织 开 创新 局面 谱写 新篇章 
         国家 建设 成 具有 高度 物质文明 精神文明 社会主义 现代化 国家 艰苦创业 过程 全党同志 全国 各族人民 和衷共济 和谐 协调 地方 进一步 团结起来 心贴 共同 目标 力量 凝聚 步子 就会 迈得 更 快 事业 兴旺发达",Politics,Politics
1/1/1985,一九八五年一月上旬天气展望,"    一九八五年一月上旬天气展望
    据新华社北京12月31日电　中央气象台对1985年1月上旬天气展望：1984年12月下旬，我国西北大部及长江以南地区出现了近三十年少见的奇寒天气，旬平均气温比常年同期偏低五至七度。预计1985年1月上旬影响我国的冷空气势力将明显减弱，全国大部地区气温将缓慢回升。西南西部、东北大部地区旬平均气温将接近常年略偏高，其余大部地区接近常年略偏低，江南西部地区仍将偏低二度左右。","        一九八五年 一月 上旬 天气 展望 
         新华社 北京 12 月 31 日电 　 中央气象台 1985 年 月 上旬 天气 展望 1984 年 12 月 下旬 我国 西北 大部 长江 以南 地区 出现 近 三十年 少见 奇寒 天气 旬 平均气温 常年 同期 偏低 五至 七度 预计 1985 年 月 上旬 影响 我国 冷空气 势力 明显 减弱 全国 大部地区 气温 缓慢 回升 西南 西部 东北 大部地区 旬 平均气温 接近 常年 略偏 高 大部地区 接近 常年 略偏 低 江南 西部 地区 偏低 二度 左右",Others,Others
1/1/1985,血液换出稀释法可治疗脑血栓,"    血液换出稀释法可治疗脑血栓
    山东省济宁市第二人民医院用血液换出稀释法治疗脑血栓患者取得可喜的疗效。六年来，他们用这种方法治疗了二百多例患者，有效率达95％。","        血液 换 出 稀释 法可 治疗 脑血栓 
         山东省 济宁市 人民 医院 血液 换 出 稀释 法 治疗 脑血栓 患者 取得 可喜 疗效 六年 这种 方法 治疗 二百多 例 患者 有效率 达 95",Technology,Technology
1/1/1985,玻利维亚紧张局势得到缓和  拒绝交权的前陆军司令奥尔维斯被迫投降,"    玻利维亚紧张局势得到缓和
    拒绝交权的前陆军司令奥尔维斯被迫投降
    新华社北京12月31日电  拉巴斯消息：玻利维亚对抗西莱斯·苏亚索总统命令的前陆军司令奥尔维斯及其支持者昨天投降，使历时两天的紧张局势得到缓和。
    西莱斯·苏亚索总统在接到玻利维亚总工会关于两个半月前上任的陆军司令奥尔维斯将军有政变企图的报告后，于29日解除了他的职务。但奥尔维斯及其追随者们指责这一决定是总统“任性”的表现，坚持要完成两年任期，并占据了陆军参谋部，拒绝将权力移交给新任命的陆军司令洛佩斯·莱顿，一时间形势趋于紧张。
    当地时间30日凌晨二时，一支忠于总统的部队包围了陆军司令部，经过紧张的谈判，奥尔维斯及支持他的近三十名将、校级军官被迫宣布投降。新任命的陆军司令随即下令逮捕奥尔维斯将军，从而平息了这一可能引起国内大动荡的事件。
    当地的政治分析家们指出，玻利维亚这个政变频繁的国家由于经济困难，一个时期以来政局一直不稳。迫于形势，西莱斯·苏亚索总统11月19日宣布提前一年结束任期，将1986年的大选改在1985年6月举行，以期阻止发生军事政变，使现行的民主制度能够维持下去。","        玻利维亚 紧张局势 得到 缓和 
         拒绝 交权 前 陆军 司令 奥尔 维斯 被迫 投降 
         新华社 北京 12 月 31 日电     拉巴斯 消息 玻利维亚 对抗 西 莱斯 苏亚索 总统 命令 前 陆军 司令 奥尔 维斯 支持者 昨天 投降 历时 两天 紧张局势 得到 缓和 
         西 莱斯 苏亚索 总统 接到 玻利维亚 总工会 两个 半月 前 上任 陆军 司令 奥尔 维斯 将军 政变 企图 报告 29 日 解除 职务 奥尔 维斯 追随者 指责 这一 决定 总统 任性 表现 坚持 完成 两年 任期 占据 陆军 参谋部 拒绝 权力 移交 新 任命 陆军 司令 洛佩斯 莱顿 一时间 形势 趋于 紧张 
         时间 30 日 凌晨 二 时 一支 忠于 总统 部队 包围 陆军 司令部 紧张 谈判 奥尔 维斯 支持 近 三十名 校级 军官 被迫 宣布 投降 新 任命 陆军 司令 随即 下令 逮捕 奥尔 维斯 将军 平息 引起 国内 动荡 事件 
         政治 分析家 指出 玻利维亚 政变 频繁 国家 经济 困难 时期 政局 稳 迫于形势 西 莱斯 苏亚索 总统 11 月 19 日 宣布 提前 一年 结束 任期 1986 年 大选 改在 1985 年 月 举行 阻止 发生 军事政变 现行 民主 制度 能够 维持下去",Politics,Politics
1/1/1985,北京假肢科研所主体工程奠基,"    北京假肢科研所主体工程奠基
    本报讯  民政部北京假肢科研主体工程12月31日在北京举行奠基仪式。这个主体工程包括北京假肢科研所、假肢实验工厂和肢体残缺者康复部等部分，建成后，将对全国近五十家假肢工厂起指导作用，促进假肢生产现代化。","        北京 假肢 科研所 主体工程 奠基 
         本报讯     民政部 北京 假肢 科研 主体工程 12 月 31 日 北京 举行 奠基仪式 主体工程 包括 北京 假肢 科研所 假肢 实验工厂 肢体 残缺 康复 部等 部分 建成 全国 近 五十 家 假肢 工厂 指导作用 促进 假肢 生产 现代化",Technology,Technology
1/1/1985,宴席上的黄蚂蜂,"    宴席上的黄蚂蜂
    美国一些地区有一种野生的黄蚂蜂，对肉菜香的嗅觉特别灵，哪里有宴席和摆上野餐的菜肴，它们就飞向哪里。而且只要有一只发现了餐桌，就立即返回蜂巢，招来一大群伙伴飞落在盘中菜点上，挥之不去，一饱方休。
    目前，有些单位酒宴之风见长。他们或借首长视察，或借召开会议为由，大摆宴席，吃喝无度。首长一来，各级陪护者成队，随行车辆成串。开个什么会，“会务人员”比与会者还多几倍。于是乎，护驾的、开车的、烧茶的、倒水的、打字的、印刷的、买电影票的、把大门的……凡略有瓜葛者皆可借光解馋，大饱口福。这些食客真有些象“黄蚂蜂”，嗅到肉香便纷至沓来。
    美国人对付“黄蚂蜂”是采用喷雾剂来防避它的飞来。我们该用什么办法来对付这如许众多的两只脚的黄蚂蜂呢？  安放","        宴席 黄 蚂蜂 
         美国 地区 一种 野生 黄 蚂蜂 对肉 菜 香 嗅觉 特别 灵 宴席 摆 野餐 菜肴 飞向 一只 发现 餐桌 立即 返回 蜂巢 招来 一大群 伙伴 飞落 盘中 菜点 挥之不去 一饱方休 
         目前 单位 酒宴 之风 见长 首长 视察 召开 会议 大摆 宴席 吃喝 无度 首长 各级 陪护 成队 随行 车辆 成串 开个 会务 人员 与会者 多几倍 护驾 开车 烧茶 倒水 打字 印刷 买 电影票 大门 … … 略有 瓜葛 皆 借光 解馋 大饱口福 食客 真 象 黄 蚂蜂 嗅到 肉香 便 纷至沓来 
         美国 对付 黄 蚂蜂 采用 喷雾剂 防避 飞来 该用 办法 对付 如许 众多 两只 脚 黄 蚂蜂     安放",Others,Others
1/1/1985,赵紫阳电贺拉吉夫·甘地任印度总理,"    赵紫阳电贺拉吉夫·甘地任印度总理
    本报讯　赵紫阳总理1月1日打电报给拉吉夫·甘地，对他就任印度总理表示祝贺。
    电报说，“我们高兴地注意到，在中印两国政府的共同努力下，中印关系得到了明显的改善和发展。我真诚地希望并相信，在阁下任职期间，久已存在于我们两国之间的传统友谊将得到进一步的加强，中印友好关系将达到一个新的水平。”
    电报最后祝贺拉吉夫·甘地新年快乐。","        赵紫阳 电贺 拉吉夫 甘地 印度 总理 
         本报讯 　 赵紫阳 总理 月 日 打电报 拉吉夫 甘地 就任 印度 总理 表示祝贺 
         电报 说 高兴 注意 中印 两国政府 共同努力 中印关系 得到 明显 改善 发展 真诚地 希望 相信 阁下 任职期间 久已 存在 两国之间 传统友谊 得到 进一步 加强 中 印 友好关系 达到 新 水平 
         电报 祝贺 拉吉夫 甘地 新年快乐",Politics,Politics
1/1/1985,柬抵抗力量收复四分之三农沙美营地  逃到泰国的老挝难民已达六万人,"    柬抵抗力量收复四分之三农沙美营地
    逃到泰国的老挝难民已达六万人
    新华社曼谷12月31日电  据此间今天收到的来自泰国东部边境城镇亚兰和达帕耶的消息，约三千名柬埔寨抵抗战士昨天与入侵农沙美营地的越南军队开展了近战。目前，抵抗力量已收复这个营地的四分之三。
  昨天的战斗被认为是七天以来最激烈的一次。越军坦克和大炮从早到晚对这个营地进行轰击。抵抗战士击毁越军坦克两辆。
    报道援引来自边境地区国际红十字委员会和泰国可靠人士的话说，在昨天的战斗中，抵抗力量的三十名战士被打死，九十四人受伤。农沙美营地的大部分地区被越军夷为平地，越军还在营地内埋设了许多地雷。
    泰国东部特遣部队一位指挥官说，为数二千多人的越军已开到靠近高棉人民民族解放阵线总部安比附近的阵地。
    报道说，在民主柬埔寨主席西哈努克亲王领导的西哈努克民族主义军总部所在地达敦附近局势也越来越紧张。在那里的越军在过去的几天里已得到来自柬埔寨奥多棉吉省的越军数千人的增援。
    据新华社曼谷12月31日电  据此间报纸报道，近来从老挝偷渡湄公河逃到泰国人数仍在不断增加。到目前止，逃到泰国的老挝难民已达六万人。","        柬 抵抗力量 收复 四分之三 农沙美 营地 
         逃 泰国 老挝 难民 已达 六万人 
         新华社 曼谷 12 月 31 日电     间 今天 收到 泰国 东部 边境 城镇 亚兰 达 帕耶 消息 约 三千名 柬埔寨 抵抗 战士 昨天 入侵 农沙美 营地 越南 军队 开展 近战 目前 抵抗力量 收复 营地 四分之三 
     昨天 战斗 认为 七天 激烈 一次 越军 坦克 大炮 营地 进行 轰击 抵抗 战士 击毁 越军 坦克 两辆 
         报道 援引 边境地区 国际 红十字 委员会 泰国 可靠人士 说 昨天 战斗 中 抵抗力量 三十名 战士 打死 九 十四 受伤 农沙美 营地 大部分 地区 越军 夷为平地 越军 营地 埋设 地雷 
         泰国 东部 特遣部队 一位 指挥官 说 为数 二千多 越军 开到 靠近 高棉 人民 民族 解放阵线 总部 安比 附近 阵地 
         报道 说 民主 柬埔寨 主席 西哈努克 亲王 领导 西哈努克 民族主义 军 总部 所在地 达敦 附近 局势 越来越 紧张 越军 过去 几天 里 得到 柬埔寨 奥多 棉吉省 越军 数千 增援 
         新华社 曼谷 12 月 31 日电     间 报纸 报道 老挝 偷渡 湄公河 逃 泰国 人数 不断 增加 目前 止 逃 泰国 老挝 难民 已达 六万人",Military,Military
1/1/1985,皖南泾县发现奇异的溶洞群,"    皖南泾县发现奇异的溶洞群
    在安徽泾县的狮子山一带，最近发现一处由十个大小溶洞组成的溶洞群，洞体壮观，形态奇异。洞内石钟乳各具特色，从岩溶地质研究角度分析，具有重要价值。（据新华社）","        皖南 泾县 发现 奇异 溶洞群 
         安徽 泾县 狮子山 一带 最近 发现 一处 十个 大小 溶洞 组成 溶洞群 洞体 壮观 形态 奇异 洞内 石钟乳 各具特色 岩溶 地质 研究 角度 分析 具有 重要 价值 新华社",Others,Others
1/1/1985,中央军委人民武装委员会向人武干部、民兵等贺年,"    中央军委人民武装委员会向人武干部、民兵等贺年
    据新华社北京12月31日电  中央军委人民武装委员会向全国人民武装工作干部、预备役人员和广大民兵写信祝贺新年，强调民兵和预备役建设也要服从于服务于国家建设的大局。
    贺年信指出，搞好以城市为重点的经济体制改革，加快发展国民经济的步伐，实现到本世纪末工农业年总产值翻两番的奋斗目标，是国家建设的大局。这是新时期军队建设的指导思想，也是我国民兵、预备役建设的指导思想。我们要一心一意服从于服务于国家建设的大局。要根据经济建设和国防建设的需要，搞好民兵组织的调整，搞好教育训练改革。当前，在全党全国都在集中力量搞经济建设的情况下，民兵更应该当先锋，打头阵，积极参加两个文明建设。","        中央军委 人民武装 委员会 人武 干部 民兵 贺年 
         新华社 北京 12 月 31 日电     中央军委 人民武装 委员会 全国 人民武装 工作 干部 预备役 人员 广大 民兵 写信 祝贺 新年 强调 民兵 预备役 建设 服从 服务 国家 建设 大局 
         贺年 信 指出 搞好 城市 重点 经济体制 改革 加快 发展 国民经济 步伐 实现 本世纪末 工农业 年 总产值 翻两番 奋斗目标 国家 建设 大局 新 时期 军队 建设 指导思想 我国 民兵 预备役 建设 指导思想 一心一意 服从 服务 国家 建设 大局 经济 建设 国防建设 需要 搞好 民兵组织 调整 搞好 教育 训练 改革 当前 全党全国 集中力量 搞 经济 建设 情况 民兵 更 应该 先锋 打头阵 积极 参加 两个 文明 建设",Military,Military
